Geography(지리학),Canada 2,,,,
Statistics(통계),2019,2020,2021,2022,2023
,Number,,,,
Total number of all personnel 3(총 인원수),"100,565",..,"102,567","103,327","105,666"
Total number of police officers 4 5(총 경찰관 수),"68,847",..,"70,160","70,581","71,472"
Men police officers 4 5(남자 경찰관),"53,529",..,"54,425","54,562","55,043"
Women police officers 4 5(여자 경찰관),"15,319",..,"15,735","16,018","16,429"
Total number of civilian and other personnel 6 7(민간인 및 기타 인력의 총 수),"31,718",..,"32,407","32,747","34,193"
,Ratio(비율),,,,
Police-civilian ratio(경찰-민간 비율),2.2,..,2.2,2.2,2.1
,Rate,,,,
"Police officers per 100,000 population 4 8(인구 100,000명당 경찰관 수)",183,..,183.5,181.3,178.2
,Number,,,,
Authorized police officer strength 9(공인 경찰관 체력),"72,093",..,"73,166","74,546","75,755"
,Rate,,,,
"Authorized police officer strength per 100,000 population 8 9(인구 100,000명당 공인 경찰관 수)",191.6,..,191.3,191.4,188.9
Criminal Code incidents per police officer 10(경찰관 1인당 형법 사건),32.1,..,29.4,31.3,30.9
,Index,,,,
Crime severity index 11 12(범죄 심각도 지수),79.75,..,74.9,78.1,78.1
,Rate,,,,
Weighted clearance rate 12 13(가중 클리어런스율),37.02,..,36.84,35.82,35.82
