"Victims of police-reported violent crime and traffic violations causing bodily harm or death, by gender of victim and type of violation 1  ,  2"
"빈도: 연간"
"표: 35-10-0050-01(이전 CANSIM 252-0098)"
"출시일: 2023-11-21"
"지리학:"
""
""

,"Geography 3","Canada",,,
,"Statistics(통계)","Rate per 100,000 population 4(인구 10만명당 비율)",,,
"Gender of victim","Violations","2019","2020","2021","2022"
,,"Rate",,,
"Total, gender of victim(합계, 피해자 성별)","Total, all violations(전체, 모든 위반)","1,090.41","1,065.13","1,126.69","1,158.60"
,"Violations causing death and attempted murder(사망을 초래한 위반 및 살인 미수)","4.36","4.48","4.27","4.53"
,"Sexual assaults(성폭행)","80.74","74.06","87.68","90.85"
,"Sexual violations against children 5 6(아동을 대상으로 한 성범죄)","25.01","25.39","30.30","27.31"
,"Assaults(폭행)","695.37","678.12","706.10","736.12"
,"Other violent violations(기타 폭력적인 위반)","277.31","276.03","291.09","292.52"
,"Criminal Code traffic violations causing death or bodily harm 7(사망 또는 신체 상해를 초래하는 형법 교통 위반)","7.63","7.05","7.24","7.27"
"Female victims 8(여성 피해자)","Total, all violations(전체, 모든 위반)","1,143.53","1,123.10","1,204.15","1,214.69"
,"Violations causing death and attempted murder(사망을 초래한 위반 및 살인 미수)","2.11","2.16","2.17","2.21"
,"Sexual assaults(성폭행)","142.86","132.02","155.93","161.06"
,"Sexual violations against children 5 6(아동을 대상으로 한 성범죄)","41.68","42.27","50.76","45.33"
,"Assaults(폭행)","669.38","657.36","687.22","707.82"
,"Other violent violations(기타 폭력적인 위반)","280.53","283.11","301.48","291.94"
,"Criminal Code traffic violations causing death or bodily harm 7(사망 또는 신체 상해를 초래하는 형법 교통 위반)","6.98","6.18","6.58","6.33"
"Male victims 8(남성 피해자)","Total, all violations(전체, 모든 위반)","1,032.10","1,001.10","1,040.85","1,089.43"
,"Violations causing death and attempted murder(사망을 초래한 위반 및 살인 미수)","6.61","6.76","6.33","6.81"
,"Sexual assaults(성폭행)","17.49","15.08","18.08","18.92"
,"Sexual violations against children 5 6(아동을 대상으로 한 성범죄)","8.03","8.22","9.43","8.84"
,"Assaults(폭행)","718.29","695.12","719.71","755.23"
,"Other violent violations(기타 폭력적인 위반)","273.44","268.02","279.45","291.57"
,"Criminal Code traffic violations causing death or bodily harm 7(사망 또는 신체 상해를 초래하는 형법 교통 위반)","8.25","7.90","7.85","8.06"




Footnotes:
1,"In general, for police-reported incidents that involve violations against the person, a victim record is collected for each victim involved in the incident. If an individual is a victim in multiple incidents in the same reference year, that individual will be counted as one victim for each separate incident. Some victims experience violence over a period of time, sometimes years, all of which may be considered by the police to be part of one continuous incident and are counted as a single victim. Victim records are not required for all violent violations, but are accepted, for some violent offences such as uttering threats and criminal harassment."
2,"Data are from the Uniform Crime Reporting (UCR2) Trend Database, which contains historical data that permit the analysis of trends since 2009 in the characteristics of incidents, and accused and victim characteristics, such as age, gender and accused-victim relationship. This database includes respondents accounting for 99% of the population of Canada."
3,"A census metropolitan area (CMA) consists of one or more neighbouring municipalities situated around a major urban core. A CMA must have a total population of at least 100,000, of which 50,000 or more live in the urban core. To be included in the CMA, other adjacent municipalities must have a high degree of integration with the central urban core, as measured by commuting flows derived from census data. A CMA typically comprises more than one police service. CMA populations have been adjusted to follow policing boundaries. The Oshawa CMA is excluded from this analysis owing to the incongruity between the police service jurisdictional boundaries and the CMA boundaries. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. In 2020, coverage for each CMA was virtually 100%, except in Toronto (91%), and Hamilton (75%). As a result, counts and rates may differ from information from other sources."
4,"Rates are calculated on the basis of 100,000 population in each age and gender group unless otherwise noted for specific relationships. Populations based on July 1 estimates from Statistics Canada, Centre for Demography. Rates for victims with unknown age or unknown gender are not available for any reference period, as population estimates cannot be applied to calculate rates where these elements are unknown."
8,"The option for police to code victims and accused as gender diverse in the Uniform Crime Reporting (UCR) Survey was implemented in 2018. Given that small counts of victims and accused persons identified as “gender diverse” may be small, the Uniform Crime Reporting Survey (UCR) aggregate data available to the public have been recoded to assign these counts to either "male" or "female" in order to ensure the protection of confidentiality and privacy. Victims and accused persons identified as gender diverse have been recoded to either male or female based on the regional distribution of victims’ and accused persons’ gender."
5,"Sexual violations against children are a set of Criminal Code violations that specifically concern violations involving child and youth victims. These include violations such as sexual interference, invitation to sexual touching and sexual exploitation, but exclude sexual assault and other sexual violations not specific to children. See the "Definitions" section for a full list of violations in this category."
6,"Between 2015 and 2016, some of the increase in the number of victims of sexual violations against children may be attributed to legislative changes (Bill C-26) to the maximum sentences for these offences which thereby affects the determination of the most serious violation in the incident. As a result, this also has an impact on the number of child and youth victims of sexual assault."
7,"Includes dangerous operation of a motor vehicle, failure to stop and other Criminal Code traffic violations."



"인용 방법: 캐나다 통계청. 표 35-10-0050-01 경찰에 신고된 강력범죄 및 교통법규 위반으로 인한 신체상해 또는 사망의 피해자 성별 및 위반유형별"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510005001
