area,number,total population
Aomori,2348
Iwate,2153
Miyagi,3766
Akita,1989
Yamagata,2013
Fukushima,3467
Tottori,1231
Shimane,1512
Okayama,3511
Hiroshima,5189
Yamaguchi,3148
Fukuoka,11124
Saga,1717
Nagasaki,3075
Kumamoto,3107
Oita,2092
Miyazaki,2034
Kagoshima,3035
Okinawa,2921
Hokkaido,10634
Tottori,1231
Shimane,1512
Okayama,3511
Hiroshima,5189
Yamaguchi,3148
Tokushima,1555
Kagawa,1859
Ehime,2463
Kochi,1611
MPD,43486
Ibaraki,4814
Tochigi,3429
Gunma,3442
Saitama,11524
Chiba,11100
Kanagawa,15703
Niigata,4192
Yamanashi,1682
Nagano,3487
Shizuoka,6195
Toyama,1959
Ishikawa,1977
Fukui,1732
Gifu,3527
Aichi,13554
Mie,3079
Shiga,2282
Kyoto,6560
Osaka,21474
Hyogo,11953
Nara,2481
Wakayama,2183
,,125100000
