번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,강원도화천군청,사내면용담리74-3,,생활방범,1,0,,0,,033-440-2304,38.071939,127.52022,2021-12-13
2,강원도화천군청,사내면사창리436-1,,생활방범,1,0,,0,,033-440-2304,38.07472,127.54134,2021-12-13
3,강원도화천군청,상서면노동리1265-5,,생활방범,1,0,,0,,033-440-2304,38.073353,127.52128,2021-12-13
4,강원도화천군청,상서면다목리217-7,,생활방범,1,0,,0,,033-440-2304,38.162573,127.66168,2021-12-13
5,강원도화천군청,하남면논미리8-2,,생활방범,1,0,,0,,033-440-2304,38.17674,127.57541,2021-12-13
6,강원도화천군청,화천읍중리76-4,,생활방범,1,0,,0,,033-440-2304,38.09174,127.68624,2021-12-13
7,강원도화천군청,화천읍신읍리515-7,,생활방범,1,0,,0,,033-440-2304,38.11771,127.71547,2021-12-13
8,강원도화천군청,화천읍아리100-5,,생활방범,1,0,,0,,033-440-2304,38.11317,127.70118,2021-12-13
9,강원도화천군청,간동면간척리646-19,,생활방범,1,0,,0,,033-440-2304,38.09709,127.72486,2021-12-13
10,강원도화천군청,사내면사내로3길30,,생활방범,1,0,,0,,033-440-2304,38.0292,127.8171,2021-12-13
11,강원도화천군청,화천읍노신로49-4,,생활방범,1,0,,0,,033-440-2304,38.0696,127.51884,2021-12-13
12,강원도화천군청,화천읍새싹길57,,생활방범,1,0,,0,,033-440-2304,38.115594,127.69953,2021-12-13
13,강원도화천군청,사내면사창리584-4,,생활방범,1,0,,0,,033-440-2304,38.106334,127.7088,2021-12-13
14,강원도화천군청,화천읍상리11-7,,생활방범,1,0,,0,,033-440-2304,38.083759,127.5225,2021-12-13
15,강원도화천군청,화천읍신읍리622-3,,생활방범,1,0,,0,,033-440-2304,38.110245,127.70454,2021-12-13
16,강원도화천군청,화천읍신읍리588-5,,생활방범,1,0,,0,,033-440-2304,38.092045,127.68628,2021-12-13
17,강원도화천군청,화천읍신읍리588-5,,생활방범,1,0,,0,,033-440-2304,38.113433,127.69855,2021-12-13
18,강원도화천군청,화천읍신읍리588-5,,생활방범,1,0,,0,,033-440-2304,38.118292,127.7007,2021-12-13
