번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
30001,통영시청,,경상남도 통영시 도천동 983-9,다목적,1,200,도천지구3_두룡초후관주차장방향,30,2022-08,055-650-2810,34.8383,128.4115,2024-03-01
30002,통영시청,,경상남도 통영시 도천동 984-2,다목적,1,200,도천지구4_KT앞대로방향,30,2022-08,055-650-2810,34.8382,128.4121,2024-03-01
30003,통영시청,,경상남도 통영시 도천동 984-2,다목적,1,200,도천지구4_도천테마파크방향,30,2022-08,055-650-2810,34.8382,128.4121,2024-03-01
30004,통영시청,,경상남도 통영시 도천동 110-41,다목적,1,200,도천지구5_해저터널방향,30,2022-08,055-650-2810,34.8371,128.4126,2024-03-01
30005,통영시청,,경상남도 통영시 도천동 110-41,다목적,1,200,도천지구5_삼성디지털프라자방향,30,2022-08,055-650-2810,34.8371,128.4126,2024-03-01
30006,통영시청,,경상남도 통영시 도천동 110-41,다목적,1,200,도천지구5_두룡초정문방향,30,2022-08,055-650-2810,34.8371,128.4126,2024-03-01
30007,통영시청,,경상남도 통영시 명정동 400-2(400-15주위),다목적,1,200,명정_새마을금고_경로당방향,30,2022-12,055-650-2810,34.8454,128.4177,2024-03-01
30008,통영시청,,경상남도 통영시 광도면 죽림리 1582-83,다목적,1,200,광도_청우빌 앞_우림빌방향,30,2022-12,055-650-2810,34.8756,128.4198,2024-03-01
30009,통영시청,,경상남도 통영시 북신동 137번지,다목적,1,200,북신_북문1길 33앞_주영라이프방향,30,2022-12,055-650-2810,34.8756,128.4198,2024-03-01
30010,통영시청,,경상남도 통영시 북신동 137번지,다목적,1,200,북신_북문1길 33앞_유영초방향,30,2022-12,055-650-2810,34.8756,128.4198,2024-03-01
30011,통영시청,,경상남도 통영시 광도면 죽림리 1594번지,교통단속,1,210,광도_주정차_통영경찰서앞_해안가방향,30,2018-11,055-650-2810,34.8825,128.4186,2024-03-01
30012,통영시청,,경상남도 통영시 광도면 죽림리 1569-31번지,교통단속,1,210,광도_주정차_통영경찰서앞_회전,30,2015-07,055-650-2810,34.8826,128.4185,2024-03-01
30013,통영시청,,경상남도 통영시 광도면 죽림리 1574-16번지,교통단속,1,210,광도_주정차_통영축산농협앞_돔,30,2013-05,055-650-2810,34.8799,128.4199,2024-03-01
30014,통영시청,,경상남도 통영시 광도면 죽림리 1597번지,교통단속,1,210,광도_주정차_통영축산농협앞_시외터미널방향,30,2013-05,055-650-2810,34.8801,128.4183,2024-03-01
30015,통영시청,,경상남도 통영시 광도면 죽림리 1597번지,교통단속,1,210,광도_주정차_통영축산농협앞_죽림초방향,30,2013-05,055-650-2810,34.8801,128.4183,2024-03-01
30016,통영시청,,경상남도 통영시 광도면 죽림리 1597번지,교통단속,1,210,광도_주정차_통영축산농협앞_해안로방향,30,2013-05,055-650-2810,34.8801,128.4183,2024-03-01
30017,통영시청,,경상남도 통영시 광도면 죽림리 1574-11번지,교통단속,1,210,광도_주정차_통영축산농협앞_회전,30,2013-05,055-650-2810,34.8802,128.4184,2024-03-01
