번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,대구광역시 남구청(40477),대구광역시 남구 대명로 2-3 (대명동),대구광역시 남구 대명동 1135-2,생활방범,1,200,고정형 카메라,30,2019-06,053-664-2492,35.83757,128.558088,2023-04-24
2,대구광역시 남구청(40478),대구광역시 남구 대명로 2-3(남편),대구광역시 남구 대명동 1135-2,생활방범,1,200,고정형 카메라,30,2019-06,053-664-2492,35.83757,128.558088,2023-04-24
3,대구광역시 남구청(40479),대구광역시 남구 관문시장6길 33(북편),대구광역시 남구 대명동 1239-4,생활방범,1,200,고정형 카메라,30,2019-06,053-664-2492,35.83618304,128.5614741,2021-06-18
4,대구광역시 남구청(40480),대구광역시 남구 대명로 213(남편),대구광역시 남구 대명동 1683-15,생활방범,1,200,번호인식형 카메라,30,2019-06,053-664-2492,35.84075,128.580411,2021-06-18
5,대구광역시 남구청(40481),대구광역시 남구 대명로 213 (대명동),대구광역시 남구 대명동 1683-15,생활방범,1,200,번호인식형 카메라(동편),30,2019-06,053-664-2492,35.84075,128.580411,2023-04-24
6,대구광역시 남구청(40482),대구광역시 남구 대명로 213 (대명동),대구광역시 남구 대명동 1683-15,생활방범,1,200,회전형 카메라,30,2019-06,053-664-2492,35.84075,128.580411,2023-04-24
7,대구광역시 남구청(40483),대구광역시 남구 명덕로 336,대구광역시 남구 이천동 214-406,생활방범,1,200,번호인식형 카메라,30,2020-06,053-664-2492,35.854921,128.606768,2021-06-18
8,대구광역시 남구청(40484),대구광역시 남구 이천로25길 12-7,대구광역시 남구 이천동 458-1,생활방범,1,200,회전형 카메라,30,2020-06,053-664-2492,35.852212,128.596911,2021-06-18
9,대구광역시 남구청(40485),대구광역시 남구 희망로 62,대구광역시 남구 이천동 577-16,생활방범,1,200,번호인식형 카메라,30,2020-06,053-664-2492,35.847374,128.605247,2021-06-18
10,대구광역시 남구청(40486),대구광역시 남구 봉덕로9길 93-1,대구광역시 남구 봉덕1동 501-19,생활방범,1,200,회전형 카메라,30,2020-06,053-664-2492,35.848925,128.597164,2021-06-18
11,대구광역시 남구청(40487),대구광역시 남구 봉덕로13길 54-10,대구광역시 남구 봉덕1동 501-19,생활방범,1,200,고정형 카메라,30,2020-06,053-664-2492,35.847137,128.597224,2021-06-18
