번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,유성구청,,대전광역시 유성구 구암동 591-1,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3548667,127.3329433,2021-10-01
2,유성구청,,대전광역시 유성구 장대동 279-4,생활방범,2,200,360°,30,2011-12,042-611-2114,36.3588937,127.335563,2021-10-01
3,유성구청,,대전광역시 유성구 장대동 327-9,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3631023,127.3349796,2021-10-01
4,유성구청,,대전광역시 유성구 갑동 388-9,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3616194,127.289327,2021-10-01
5,유성구청,,대전광역시 유성구 지족동 910-16,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3741821,127.3204804,2021-10-01
6,유성구청,,대전광역시 유성구 지족동 130-3,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3808247,127.3216469,2021-10-01
7,유성구청,,대전광역시 유성구 신성동 217-2,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3919231,127.3527997,2021-10-01
8,유성구청,,대전광역시 유성구 신성동 216-5,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3866972,127.3503741,2021-10-01
9,유성구청,,대전광역시 유성구 신성동 118-23,생활방범,1,200,360°,30,2011-12,042-611-2114,36.38587,127.3532492,2021-10-01
10,유성구청,,대전광역시 유성구 전민동 371-11,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3968369,127.4041215,2021-10-01
11,유성구청,,대전광역시 유성구 전민동 365-2,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3977906,127.4024782,2021-10-01
12,유성구청,,대전광역시 유성구 원촌동 71,생활방범,1,200,360°,30,2011-12,042-611-2114,36.3801364,127.4061172,2021-10-01
13,유성구청,,대전광역시 유성구 송강동 36-1,생활방범,3,200,360°,30,2011-12,042-611-2114,36.4343631,127.3867804,2021-10-01
14,유성구청,,대전광역시 유성구 송강동 176-14,생활방범,1,200,360°,30,2011-12,042-611-2114,36.4335369,127.3867769,2021-10-01
15,유성구청,,대전광역시 유성구 관평동 1052,생활방범,1,200,360°,30,2011-12,042-611-2114,36.4239243,127.3912025,2021-10-01
16,유성구청,,대전광역시 유성구 관평동 835,생활방범,1,200,360°,30,2011-12,042-611-2114,36.42554591,127.3878658,2021-10-01
17,유성구청,,대전광역시 유성구 원신흥동 120-2,차량방범,3,200,45°,30,2012-06,042-611-2114,36.3348436,127.3488478,2021-10-01
18,유성구청,,대전광역시 유성구 장대동 120-5,차량방범,2,200,45°,30,2012-06,042-611-2114,36.36419889,127.3298013,2021-10-01
19,유성구청,,대전광역시 유성구 안산동 324-9,차량방범,4,200,45°,30,2012-06,042-611-2114,36.4148062,127.2999501,2021-10-01
20,유성구청,,대전광역시 유성구 화암동 170-11,차량방범,4,200,45°,30,2012-06,042-611-2114,36.4147844,127.3781559,2021-10-01
21,유성구청,,대전광역시 유성구 자운동 270-11,차량방범,6,200,45°,30,2012-06,042-611-2114,36.4003608,127.3459817,2021-10-01
22,유성구청,,대전광역시 유성구 금고동 572-3,차량방범,1,200,45°,30,2012-06,042-611-2114,36.4573189,127.3853734,2021-10-01
23,유성구청,,대전광역시 유성구 봉산동 947-3,차량방범,1,200,45°,30,2012-06,042-611-2114,36.4393007,127.3792022,2021-10-01
24,유성구청,,대전광역시 유성구 죽동 628-1,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3796793,127.3247001,2021-10-01
25,유성구청,,대전광역시 유성구 죽동 617,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3805923,127.3244655,2021-10-01
26,유성구청,,대전광역시 유성구 지족동 915,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3752309,127.3221809,2021-10-01
27,유성구청,,대전광역시 유성구 구암동 498-15,생활방범,2,200,360°,30,2012-01,042-611-2114,36.35805409,127.3121181,2021-10-01
28,유성구청,,대전광역시 유성구 구암동 382-2,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3537086,127.3201492,2021-10-01
29,유성구청,,대전광역시 유성구 구암동 420-3,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3589443,127.3242228,2021-10-01
30,유성구청,,대전광역시 유성구 장대동 480,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3609377,127.3335259,2021-10-01
31,유성구청,,대전광역시 유성구 송강동 200-4,생활방범,1,200,360°,30,2012-01,042-611-2114,36.43083766,127.3845171,2021-10-01
32,유성구청,,대전광역시 유성구 관평동 1282,생활방범,1,200,360°,30,2012-01,042-611-2114,36.4211696,127.3894907,2021-10-01
33,유성구청,,대전광역시 유성구 봉산동 505,생활방범,1,200,360°,30,2012-01,042-611-2114,36.4476846,127.3860802,2021-10-01
34,유성구청,,대전광역시 유성구 노은동 490,생활방범,1,200,360°,30,2012-01,042-611-2114,36.371554,127.3169775,2021-10-01
35,유성구청,,대전광역시 유성구 노은동 520-2,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3719159,127.3203409,2021-10-01
36,유성구청,,대전광역시 유성구 지족동 890,생활방범,1,200,360°,30,2012-01,042-611-2114,36.3739808,127.315946,2021-10-01
37,유성구청,,대전광역시 유성구 구암동 598-1,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3535614,127.3330424,2021-10-01
38,유성구청,,대전광역시 유성구 구암동 619-1,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3500137,127.331511,2021-10-01
39,유성구청,,대전광역시 유성구 장대동 317-5,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3645908,127.3395533,2021-10-01
40,유성구청,,대전광역시 유성구 궁동 1-11,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3638335,127.3521621,2021-10-01
41,유성구청,,대전광역시 유성구 궁동 417-7,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3615205,127.3481142,2021-10-01
42,유성구청,,대전광역시 유성구 궁동 427-11,생활방범,1,200,360°,30,2008-02,042-611-2114,36.3607471,127.351235,2021-10-01
43,유성구청,,대전광역시 유성구 구암동 544-23,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3518441,127.3355572,2021-10-01
44,유성구청,,대전광역시 유성구 구암동 622-12,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3501983,127.3295528,2021-10-01
45,유성구청,,대전광역시 유성구 원내동 213-5,생활방범,1,200,360°,30,2008-01,042-611-2114,36.2999136,127.3166743,2021-10-01
46,유성구청,,대전광역시 유성구 궁동 458-13,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3620422,127.3418387,2021-10-01
47,유성구청,,대전광역시 유성구 장대동 369-1,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3584624,127.3379155,2021-10-01
48,유성구청,,대전광역시 유성구 장대동 306-1,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3653738,127.3372329,2021-10-01
49,유성구청,,대전광역시 유성구 어은동 113-8,생활방범,1,200,360°,30,2008-01,042-611-2114,36.3636381,127.3583562,2021-10-01
50,유성구청,,대전광역시 유성구 전민동 346-6,생활방범,3,200,360°,30,2008-01,042-611-2114,36.3983117,127.4011326,2021-10-01
51,유성구청,,대전광역시 유성구 원내동 62,생활방범,1,200,360°,30,2009-08,042-611-2114,36.2991404,127.3149893,2021-10-01
52,유성구청,,대전광역시 유성구 교촌동 618,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3058894,127.3168032,2021-10-01
53,유성구청,,대전광역시 유성구 장대동 348,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3617242,127.3395827,2021-10-01
54,유성구청,,대전광역시 유성구 장대동 287,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3607973,127.3343158,2021-10-01
55,유성구청,,대전광역시 유성구 하기동 515,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3881718,127.3204087,2021-10-01
56,유성구청,,대전광역시 유성구 반석동 676,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3933648,127.3110084,2021-10-01
57,유성구청,,대전광역시 유성구 지족동 850,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3805992,127.3173585,2021-10-01
58,유성구청,,대전광역시 유성구 신성동 210-15,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3880406,127.3499784,2021-10-01
59,유성구청,,대전광역시 유성구 도룡동 395-5,생활방범,1,200,360°,30,2009-08,042-611-2114,36.385378,127.3800886,2021-10-01
60,유성구청,,대전광역시 유성구 전민동 468,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3984983,127.4069237,2021-10-01
61,유성구청,,대전광역시 유성구 문지동 285-9,생활방범,1,200,360°,30,2009-08,042-611-2114,36.3959197,127.3994966,2021-10-01
62,유성구청,,대전광역시 유성구 봉산동 273-14,생활방범,1,200,360°,30,2009-08,042-611-2114,36.4358849,127.3889329,2021-10-01
63,유성구청,,대전광역시 유성구 송강동 169-3,생활방범,1,200,360°,30,2009-08,042-611-2114,36.42997656,127.3821442,2021-10-01
64,유성구청,,대전광역시 유성구 관평동 663,생활방범,1,200,360°,30,2009-08,042-611-2114,36.4216841,127.3842417,2021-10-01
65,유성구청,,대전광역시 유성구 갑동 395-22,차량방범,3,200,45°,30,2009-07,042-611-2114,36.36013854,127.2902019,2021-10-01
66,유성구청,,대전광역시 유성구 덕진동 56-6,차량방범,4,200,45°,30,2009-07,042-611-2114,36.4178169,127.378304,2021-10-01
67,유성구청,,대전광역시 유성구 장대동 191-7,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3577193,127.333944,2021-10-01
68,유성구청,,대전광역시 유성구 장대동 330-6,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3621105,127.3359524,2021-10-01
69,유성구청,,대전광역시 유성구 장대동 227-20,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3609066,127.3296403,2021-10-01
70,유성구청,,대전광역시 유성구 구암동 424-20,생활방범,1,200,360°,30,2010-01,042-611-2114,36.36049054,127.3204129,2021-10-01
71,유성구청,,대전광역시 유성구 구암동 35-11,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3487658,127.3307163,2021-10-01
72,유성구청,,대전광역시 유성구 봉명동 565-8,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3546312,127.3348351,2021-10-01
73,유성구청,,대전광역시 유성구 구암동 603-1,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3528544,127.3310363,2021-10-01
74,유성구청,,대전광역시 유성구 봉명동 15-2,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3598676,127.3543464,2021-10-01
75,유성구청,,대전광역시 유성구 봉산동 218-1,생활방범,1,200,360°,30,2010-01,042-611-2114,36.4369766,127.3895855,2021-10-01
76,유성구청,,대전광역시 유성구 봉산동 186,생활방범,1,200,360°,30,2010-01,042-611-2114,36.437874,127.3873755,2021-10-01
77,유성구청,,대전광역시 유성구 신성동 208-1,생활방범,1,200,360°,30,2010-01,042-611-2114,36.3886041,127.347684,2021-10-01
78,유성구청,,대전광역시 유성구 반석동 648,생활방범,2,200,360°,30,2011-03,042-611-2114,36.3899916,127.3130729,2021-10-01
79,유성구청,,대전광역시 유성구 하기동 550,생활방범,2,200,360°,30,2011-03,042-611-2114,36.3889275,127.3311107,2021-10-01
80,유성구청,,대전광역시 유성구 하기동 558-3,생활방범,1,200,360°,30,2011-03,042-611-2114,36.38778902,127.3322368,2021-10-01
81,유성구청,,대전광역시 유성구 지족동 848-13,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3814514,127.3171404,2021-10-01
82,유성구청,,대전광역시 유성구 지족동 849-4,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3804207,127.3163993,2021-10-01
83,유성구청,,대전광역시 유성구 하기동 579-4,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3891977,127.3211601,2021-10-01
84,유성구청,,대전광역시 유성구 구암동 611-3,생활방범,1,200,360°,30,2011-03,042-611-2114,36.349517,127.3361421,2021-10-01
85,유성구청,,대전광역시 유성구 장대동 210-3,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3586749,127.3314038,2021-10-01
86,유성구청,,대전광역시 유성구 장대동 161-5,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3604033,127.3326572,2021-10-01
87,유성구청,,대전광역시 유성구 신성동 142-1,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3895721,127.3486998,2021-10-01
88,유성구청,,대전광역시 유성구 신성동 137-4,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3899429,127.349617,2021-10-01
89,유성구청,,대전광역시 유성구 신성동 143-2,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3887484,127.3512225,2021-10-01
90,유성구청,,대전광역시 유성구 전민동 303-13,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3989845,127.4005009,2021-10-01
91,유성구청,,대전광역시 유성구 궁동 396-2,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3634558,127.3485199,2021-10-01
92,유성구청,,대전광역시 유성구 궁동 395-16,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3628186,127.3475771,2021-10-01
93,유성구청,,대전광역시 유성구 어은동 96,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3656214,127.3528081,2021-10-01
94,유성구청,,대전광역시 유성구 궁동 1-28,생활방범,1,200,360°,30,2011-03,042-611-2114,36.3628631,127.3528666,2021-10-01
95,유성구청,,대전광역시 유성구 봉산동 796-16,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4406044,127.3824649,2021-10-01
96,유성구청,,대전광역시 유성구 봉산동 813-1,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4406422,127.3834319,2021-10-01
97,유성구청,,대전광역시 유성구 송강동 10-4,생활방범,1,200,360°,30,2011-03,042-611-2114,36.436237,127.3863328,2021-10-01
98,유성구청,,대전광역시 유성구 송강동 195-11,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4330962,127.3847296,2021-10-01
99,유성구청,,대전광역시 유성구 송강동 196,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4344058,127.3844067,2021-10-01
100,유성구청,,대전광역시 유성구 송강동 30-8,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4344061,127.3853413,2021-10-01
101,유성구청,,대전광역시 유성구 송강동 195-10,생활방범,1,200,360°,30,2011-03,042-611-2114,36.4330239,127.3848693,2021-10-01
102,유성구청,,대전광역시 유성구 송강동 157,생활방범,1,200,360°,30,2011-03,042-611-2114,36.429471,127.3804564,2021-10-01
103,유성구청,,대전광역시 유성구 송정동 573,생활방범,1,200,360°,30,2011-03,042-611-2114,36.2868244,127.2665202,2021-10-01
