번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
10001,부산광역시,부산광역시 남구 전포대로77번길 26-3,,생활방범,1,0,,30,,051-607-4284,35.1438737,129.0651175,2024-01-08
10002,부산광역시,부산광역시 남구 진남로70번길 30,,생활방범,1,0,,30,,051-607-4284,35.1394457,129.0876823,2024-01-08
10003,부산광역시,부산광역시 남구 석포로73번길 38,,생활방범,1,0,,30,,051-607-4284,35.126224,129.0880013,2024-01-08
10004,부산광역시,부산광역시 남구 수영로 251,,생활방범,1,0,,30,,051-607-4284,35.1356282,129.0940012,2024-01-08
10005,부산광역시,부산광역시 남구 진남로110번길 25,,생활방범,1,0,,30,,051-607-4284,35.139263,129.0830196,2024-01-08
10006,부산광역시,부산광역시 남구 진남로166번길 6-1,,생활방범,1,0,,30,,051-607-4284,35.1414043,129.0794277,2024-01-08
10007,부산광역시,부산광역시 남구 용호로42번길 14,,생활방범,1,0,,30,,051-607-4284,35.12609,129.1085578,2024-01-08
10008,부산광역시,부산광역시 남구 동명로 92,,생활방범,1,0,,30,,051-607-4284,35.1193422,129.107478,2024-01-08
10009,부산광역시,부산광역시 남구 수영로49번나길 51,,생활방범,1,0,,30,,051-607-4284,35.1117703,129.1121341,2024-01-08
10010,부산광역시,부산광역시 남구 동명로157번길 45,,생활방범,1,0,,30,,051-607-4284,35.1213007,129.1146717,2024-01-08
10011,부산광역시,부산광역시 남구 양지골로113번길 25,,생활방범,1,0,,30,,051-607-4284,35.1139594,129.086229,2024-01-08
10012,부산광역시,부산광역시 남구 유엔로 15,,생활방범,1,0,,30,,051-607-4284,35.1268527,129.079894,2024-01-08
10013,부산광역시,부산광역시 남구 지게골로84,,생활방범,1,0,,30,,051-607-4284,35.13549,129.07225,2024-01-08
10014,부산광역시,부산광역시 남구 솔밭로 18번길 127-3,,생활방범,1,0,,30,,051-607-4284,35.1285984,129.0744421,2024-01-08
10015,부산광역시,부산광역시 남구 진남로207번길 20,,생활방범,4,0,,30,,051-607-4284,35.144266,129.0755007,2024-01-08
10016,부산광역시,부산광역시 남구 고동골로 69번길 48,,생활방범,1,0,,30,,051-607-4284,35.1440311,129.0703706,2024-01-08
10017,부산광역시,부산광역시 남구 황령대로90번길 118,,생활방범,1,0,,30,,051-607-4284,35.1451143,129.0691644,2024-01-08
10018,부산광역시,부산광역시 남구 수영로39번가길 42-11,,생활방범,4,0,,30,,051-607-4284,35.1382356,129.0751053,2024-01-08
10019,부산광역시,부산광역시 남구 장고개로63번길 28,,생활방범,1,0,,30,,051-607-4284,35.1308101,129.0689632,2024-01-08
10020,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2024-01-16
10021,부산광역시 사하구청,부산광역시 사하구 옥천로70번길 51-1,부산광역시 사하구 감천동 13-1421,다목적,1,200,360도 전방면,30,2014-11,051-220-4344,35.092855,129.010137,2024-01-16
10022,부산광역시 사하구청,부산광역시 사하구 하신번영로 206,부산광역시 사하구 하단동 1181-2,다목적,1,200,360도 전방면,30,2015-05,051-220-4344,35.099873,128.959157,2024-01-16
10023,부산광역시 사하구청,부산광역시 사하구 하신번영로 186,부산광역시 사하구 하단동 1181-25,다목적,1,200,360도 전방면,30,2015-05,051-220-4344,35.099796,128.960105,2024-01-16
10024,부산광역시 사하구청,부산광역시 사하구 승학로31번길 33,부산광역시 사하구 당리동 182-11,다목적,1,200,360도 전방면,30,2015-09,051-220-4344,35.107222,128.974386,2024-01-16
10025,부산광역시 사하구청,부산광역시 사하구 장평로450번길 42,부산광역시 사하구 괴정동 532-27,다목적,1,200,360도 전방면,30,2015-09,051-220-4344,35.097563,128.988939,2024-01-16
10026,부산광역시 사하구청,부산광역시 사하구 제석로62번길 16,부산광역시 사하구 당리동 143-1,다목적,1,200,360도 전방면,30,2015-12,051-220-4344,35.105301,128.97511,2024-01-16
10027,부산광역시 사하구청,부산광역시 사하구 감천로117번길 16,부산광역시 사하구 감천동 479-1,다목적,1,200,360도 전방면,30,2015-12,051-220-4344,35.088243,129.004885,2024-01-16
10028,부산광역시 사하구청,부산광역시 사하구 사하로185번길 35-1,부산광역시 사하구 괴정동 872-1,다목적,1,200,360도 전방면,30,2015-12,051-220-4344,35.097635,128.991753,2024-01-16
10029,부산광역시 사하구청,부산광역시 사하구 사하로185번길 35-1,부산광역시 사하구 괴정동 872-1,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.097635,128.991753,2024-01-16
10030,부산광역시 사하구청,부산광역시 사하구 사하로185번길 35-1,부산광역시 사하구 괴정동 872-1,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.097635,128.991753,2024-01-16
10031,부산광역시 사하구청,부산광역시 사하구 다대동 86-6,부산광역시 사하구 다대동 86-6,다목적,1,200,360도 전방면,30,2014-10,051-220-4344,35.063545,128.983319,2024-01-16
10032,부산광역시 사하구청,부산광역시 사하구 신평동 660,부산광역시 사하구 신평동 660,다목적,1,200,360도 전방면,30,2016-04,051-220-4344,35.080518,128.952954,2024-01-16
10033,부산광역시 사하구청,부산광역시 사하구 신평동 660,부산광역시 사하구 신평동 660,다목적,1,200,360도 전방면,30,2016-04,051-220-4344,35.081172,128.955444,2024-01-16
10034,부산광역시 사하구청,부산광역시 사하구 다대동 120-7,부산광역시 사하구 다대동 120-7,다목적,1,200,360도 전방면,30,2016-08,051-220-4344,35.061132,128.979785,2024-01-16
10035,부산광역시 사하구청,부산광역시 사하구 다대동 120-7,부산광역시 사하구 다대동 120-7,다목적,1,200,360도 전방면,30,2016-08,051-220-4344,35.062131,128.979216,2024-01-16
10036,부산광역시 사하구청,부산광역시 사하구 원양로 368-5,부산광역시 사하구 감천동 142-2,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.083757,129.00697,2024-01-16
10037,부산광역시 사하구청,부산광역시 사하구 감천로42번길 26,부산광역시 사하구 감천동 864,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.089902,128.995875,2024-01-16
10038,부산광역시 사하구청,부산광역시 사하구 감천로210번가길 19,부산광역시 사하구 감천동 847,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.081532,129.008998,2024-01-16
10039,부산광역시 사하구청,부산광역시 사하구 을숙도대로873번길 32,부산광역시 사하구 감천동 849-38,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.089888,128.99707,2024-01-16
10040,부산광역시 사하구청,부산광역시 사하구 사하로141번가길 3,부산광역시 사하구 괴정동 663,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.094627,128.992314,2024-01-16
10041,부산광역시 사하구청,부산광역시 사하구 승학로281번길 78,부산광역시 사하구 괴정동 1040-6,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.103914,128.991644,2024-01-16
10042,부산광역시 사하구청,부산광역시 사하구 낙동대로234번길 18,부산광역시 사하구 괴정동 922-5,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.100811,128.991162,2024-01-16
10043,부산광역시 사하구청,부산광역시 사하구 괴정로232번길 10,부산광역시 사하구 괴정동 663,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.096314,128.986616,2024-01-16
10044,부산광역시 사하구청,부산광역시 사하구 괴정로244번길 39,부산광역시 사하구 괴정동 538-1,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.094994,128.987675,2024-01-16
10045,부산광역시 사하구청,부산광역시 사하구 괴정로 283,부산광역시 사하구 괴정동 659,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.096646,128.992379,2024-01-16
10046,부산광역시 사하구청,부산광역시 사하구 괴정로 283,부산광역시 사하구 괴정동 659,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.096646,128.992379,2024-01-16
10047,부산광역시 사하구청,부산광역시 사하구 괴정로 283,부산광역시 사하구 괴정동 659,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.096646,128.992379,2024-01-16
10048,부산광역시 사하구청,부산광역시 사하구 괴정로 283,부산광역시 사하구 괴정동 659,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.096646,128.992379,2024-01-16
10049,부산광역시 사하구청,부산광역시 사하구 괴정로 283,부산광역시 사하구 괴정동 659,다목적,1,200,360도 전방면,30,2023-09,051-220-4344,35.096646,128.992379,2024-01-16
10050,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2024-01-16
10051,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2024-01-16
10052,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2024-01-16
10053,부산광역시 사하구청,부산광역시 사하구 감천로103번길 33,부산광역시 사하구 감천동 520-4,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08944,129.00281,2024-01-16
10054,부산광역시 사하구청,부산광역시 사하구 감내2로 117,부산광역시 사하구 감천동 2-394,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09754,129.00796,2024-01-16
10055,부산광역시 사하구청,부산광역시 사하구 감내1로 200,부산광역시 사하구 감천동 10-154,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09655,129.00945,2024-01-16
10056,부산광역시 사하구청,부산광역시 사하구 감천로 169-4,부산광역시 사하구 감천동 53-5,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.08483,129.00909,2024-01-16
10057,부산광역시 사하구청,부산광역시 사하구 사하로125번길 6-10,부산광역시 사하구 괴정동 612-5,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09256,128.99255,2024-01-16
10058,부산광역시 사하구청,부산광역시 사하구 낙동대로249번길 7,부산광역시 사하구 괴정동 894-4,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09882,128.99001,2024-01-16
10059,부산광역시 사하구청,부산광역시 사하구 괴정로270번길 29,부산광역시 사하구 괴정동 488-4,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09535,128.99132,2024-01-16
10060,부산광역시 사하구청,부산광역시 사하구 회화나무길 25,부산광역시 사하구 괴정동 810-3,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10052,128.98967,2024-01-16
10061,부산광역시 사하구청,부산광역시 사하구 괴정로284번길 24,부산광역시 사하구 괴정동 486-28,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.0961,128.99145,2024-01-16
10062,부산광역시 사하구청,부산광역시 사하구 승학로233번길 1,부산광역시 사하구 괴정동 1054-3,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10205,128.99007,2024-01-16
10063,부산광역시 사하구청,부산광역시 사하구 낙동대로 271,부산광역시 사하구 괴정동 749-2,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09911,128.98768,2024-01-16
10064,부산광역시 사하구청,부산광역시 사하구 낙동대로96,부산광역시 사하구 괴정동 172-2,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10459,129.00463,2024-01-16
10065,부산광역시 사하구청,부산광역시 사하구 대티로17번길9,부산광역시 사하구 괴정동 207-19,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10464,129.00146,2024-01-16
10066,부산광역시 사하구청,부산광역시 사하구 사리로 8,부산광역시 사하구 괴정동 382-5,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.10059,128.99967,2024-01-16
10067,부산광역시 사하구청,부산광역시 사하구 대티로80번길 26,부산광역시 사하구 괴정동 69-15,다목적,1,200,360도 전방면,30,2019-12,051-220-4344,35.10707,129.00874,2024-01-16
10068,부산광역시 사하구청,부산광역시 사하구 괴정동 1279,부산광역시 사하구 괴정동 1279,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10529,128.99965,2024-01-16
10069,부산광역시 사하구청,부산광역시 사하구 까치고개로20번길 3-10,부산광역시 사하구 괴정동 354-75,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.1032,129.00475,2024-01-16
10070,부산광역시 사하구청,부산광역시 사하구 대티로 61,부산광역시 사하구 괴정동 188-26,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10636,129.00582,2024-01-16
10071,부산광역시 사하구청,부산광역시 사하구 승학로 281,부산광역시 사하구 괴정동 260-988,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10248,128.99506,2024-01-16
10072,부산광역시 사하구청,부산광역시 사하구 낙동대로199번길 23,부산광역시 사하구 괴정동 434-4,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09955,128.99582,2024-01-16
10073,부산광역시 사하구청,부산광역시 사하구 사하로 198,부산광역시 사하구 괴정동 964-17,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09935,128.9936,2024-01-16
10074,부산광역시 사하구청,부산광역시 사하구 승학로224번길 107,부산광역시 사하구 괴정동 260-601,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10202,128.99537,2024-01-16
10075,부산광역시 사하구청,부산광역시 사하구 괴정로 145,부산광역시 사하구 당리동 338-21,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.0994,128.97803,2024-01-16
10076,부산광역시 사하구청,부산광역시 사하구 낙동대로302번길 15,부산광역시 사하구 괴정동 576-1,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10034,128.98376,2024-01-16
10077,부산광역시 사하구청,부산광역시 사하구 괴정동 1218-13,부산광역시 사하구 괴정동 1218-13,다목적,1,200,360도 전방면,30,2022-12,051-220-4344,35.096769,128.97845,2024-01-16
10078,부산광역시 사하구청,부산광역시 사하구 괴정동 1218-13,부산광역시 사하구 괴정동 1218-13,다목적,1,200,360도 전방면,30,2022-12,051-220-4344,35.096613,128.979158,2024-01-16
10079,부산광역시 사하구청,부산광역시 사하구 다대동 1585,부산광역시 사하구 다대동 1585,다목적,1,200,360도 전방면,30,2022-12,051-220-4344,35.0596,128.9796,2024-01-16
