번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,세종특별자치시청,세종특별자치시 대평동  대평동 666,세종특별자치시 세종동 747-432,생활방범,2,200,공원 산책로 일대,30,2017-03,044-300-2454,36.47627,127.2769,2023-04-26
2,세종특별자치시청,세종특별자치시 대평동 대평로 27,세종특별자치시 대평동 77-61,생활방범,1,200,공원 산책로 일대,30,2017-08,044-300-2454,36.46951,127.2801,2023-04-26
3,세종특별자치시청,,세종특별자치시 연기면 세종동 747-89,생활방범,3,200,공원 산책로 일대,30,2021-09,044-300-2454,36.47619,127.2751,2023-04-26
4,세종특별자치시청,,세종특별자치시 세종동 747-373,생활방범,3,200,공원 산책로 일대,30,2021-09,044-300-2454,36.46831,127.2639,2023-04-26
5,세종특별자치시청,,세종특별자치시 연기면 세종동 747-272,생활방범,2,200,공원 산책로 일대,30,2017-03,044-300-2454,36.4717,127.2663,2023-04-26
6,세종특별자치시청,,세종특별자치시 대평동 580-18,생활방범,2,200,배트민턴장 주변,30,2017-03,044-300-2454,36.46684,127.2644,2023-04-26
7,세종특별자치시청,,세종특별자치시 대평동137-12,생활방범,2,200,배수펌프장 주변,30,2017-03,044-300-2454,36.46544,127.2693,2023-04-26
8,세종특별자치시청,,세종특별자치시 대평동 643,생활방범,2,200,교차로 주변,30,2017-03,044-300-2454,36.46727,127.2752,2023-04-26
9,세종특별자치시청,세종특별자치시 한누리대로 2176,세종특별자치시 보람동 664-27,생활방범,3,200,교차로 주변,30,2017-03,044-300-2454,36.47674,127.2838,2023-04-26
10,세종특별자치시청,세종특별자치시 남세종로 504-12,세종특별자치시 보람동 664-105,생활방범,3,200,교차로 주변,30,2017-03,044-300-2454,36.47643,127.2839,2023-04-26
11,세종특별자치시청,세종특별자치시 한누리대로 2176,세종특별자치시 보람동 664-27,생활방범,3,200,횡단보도,30,2017-03,044-300-2454,36.4773,127.2852,2023-04-26
12,세종특별자치시청,세종특별자치시 남세정로 490,세종특별자치시 보람동700-89,생활방범,3,200,횡단보도,30,2017-03,044-300-2454,36.47544,127.2865,2023-04-26
13,세종특별자치시청,세종특별자치시 보람동로 39,세종특별자치시 보람동 632-2,생활방범,3,200,보람초등학교 버스정류장,30,2017-03,044-300-2454,36.4803,127.2931,2023-04-26
14,세종특별자치시청,세종특별자치시 보람동로 39,세종특별자치시 보람동 632-2,생활방범,3,200,보람초등학교입구 주변,30,2017-03,044-300-2454,36.48011,127.2938,2023-04-26
15,세종특별자치시청,세종특별자치시 남세종로 436,세종특별자치시 보람동 765,생활방범,3,200,119안전센터 옆 횡단보도,30,2017-03,044-300-2454,36.47769,127.2916,2023-04-26
16,세종특별자치시청,세종특별자치시 시청대로 106,세종특별자치시 보람동 664-31,생활방범,1,200,한빛유치원 횡단보도,30,2017-03,044-300-2454,36.47849,127.2842,2023-04-26
17,세종특별자치시청,세종특별자치시 시청대로 127,세종특별자치시 보람동 664-11,생활방범,2,200,강남프라자 삼거리,30,2017-03,044-300-2454,36.47968,127.2842,2023-04-26
18,세종특별자치시청,,세종특별자치시 보람동 623-1,생활방범,2,200,회전교차로,30,2017-03,044-300-2454,36.48874,127.2924,2023-04-26
19,세종특별자치시청,세종특별자치시 시청대로 190,세종특별자치시 보람동 715,생활방범,2,200,세종남부경찰서 앞 교차로,30,2017-03,044-300-2454,36.48073,127.2934,2023-04-26
20,세종특별자치시청,,세종특별자치시 보람동 633-9,생활방범,2,200,교차로 주변,30,2017-03,044-300-2454,36.47903,127.2948,2023-04-26
21,세종특별자치시청,세종특별자치시 한누리대로 2165,세종특별자치시 보람동 700-81,생활방범,2,200,대방디엠시티 싶빵공장 앞,30,2017-03,044-300-2454,36.47779,127.2872,2023-04-26
22,세종특별자치시청,세종특별자치시 남세종로 469,세종특별자치시 보람동 784,생활방범,3,200,호려울마을 4단지 정문,30,2017-03,044-300-2454,36.47777,127.287,2023-04-26
23,세종특별자치시청,세종특별자치시 호려울로 42,세종특별자치시 보람동 763,생활방범,2,200,보람동복합커뮤니티센터,30,2017-03,044-300-2454,36.479,127.2901,2023-04-26
24,세종특별자치시청,세종특별자치시 남세종로 440,세종특별자치시 보람동 764,생활방범,2,200,보람지구대,30,2017-03,044-300-2454,36.47755,127.2909,2023-04-26
25,세종특별자치시청,세종특별자치시 한누리대로 2176,세종특별자치시 보람동 664-34,생활방범,2,200,보람고등학교 회전교차로,30,2017-03,044-300-2454,36.47796,127.283,2023-04-26
26,세종특별자치시청,세종특별자치시 남세종로 503,세종특별자치시 보람동 786,생활방범,2,200,호려울마을 1단지 정문,30,2017-03,044-300-2454,36.47498,127.2848,2023-04-26
27,세종특별자치시청,,세종특별자치시 보람동664-83,생활방범,1,200,보람뜰 근린공원 내,30,2017-03,044-300-2454,36.47309,127.2846,2023-04-26
28,세종특별자치시청,,세종특별자치시 보람동 732,생활방범,2,200,아울뜰 근린공원 놀이터,30,2017-03,044-300-2454,36.47494,127.2825,2023-04-26
29,세종특별자치시청,,세종특별자치시 보람동 788,생활방범,2,200,세종 우체국 주차장 입구(횡단보도),30,2017-03,044-300-2454,36.48132,127.2907,2023-04-26
30,세종특별자치시청,세종특별자치시 시청대로 180,세종특별자치시 보람동 702,생활방범,2,200,세종우체국 입구 옆,30,2017-03,044-300-2454,36.47981,127.2911,2023-04-26
31,세종특별자치시청,세종특별자치시 남세종로 416,세종특별자치시 보람동 771,생활방범,2,200,보람유치원 주변,30,2017-03,044-300-2454,36.47859,127.2933,2023-04-26
32,세종특별자치시청,,세종특별자치시 보람동 684-1,생활방범,2,200,호려울마을 8단지 중흥S클래스 801동 옆 삼거리,30,2017-03,044-300-2454,36.47709,127.2961,2023-04-26
33,세종특별자치시청,,세종특별자치시 소담동 601,생활방범,2,200,새샘마을 3단지 리버시티 315동 앞 횡단보도,30,2017-03,044-300-2454,36.48421,127.2946,2023-04-26
34,세종특별자치시청,,세종특별자치시 보람동 702,생활방범,2,200,호려울마을 10단지 리버뷰 2차 1009 동 앞,30,2017-03,044-300-2454,36.48209,127.2964,2023-04-26
35,세종특별자치시청,세종특별자치시 보람동로 14,세종특별자치시 보람동 777,생활방범,2,200,이마트 에브리데이 앞,30,2017-03,044-300-2454,36.4802,127.2978,2023-04-26
36,세종특별자치시청,,세종특별자치시 보람동 664-46,생활방범,2,200,숲바람장미원,30,2017-03,044-300-2454,36.47789,127.2813,2023-04-26
37,세종특별자치시청,세종특별자치시 마음로 64,세종특별자치시 고운동 1712,생활방범,1,200,고운동 고운초뒷편,30,2016-05,044-300-2454,36.50427,127.2353,2023-04-26
38,세종특별자치시청,,세종특별자치시 고운동 1067,생활방범,1,200,고운동 두루고옆,30,2016-05,044-300-2454,36.51683,127.2285,2023-04-26
39,세종특별자치시청,,세종특별자치시 고운동 1148,생활방범,1,200,고운동 팔선생 앞,30,2016-05,044-300-2454,36.51888,127.2335,2023-04-26
40,세종특별자치시청,,세종특별자치시 아름동 1470,생활방범,2,200,고운동 2204동뒤사거리,30,2016-05,044-300-2454,36.51929,127.2428,2023-04-26
41,세종특별자치시청,세종특별자치시 고운북10길 30,세종특별자치시 고운동 899,생활방범,1,200,고운동 산105단독필지,30,2016-05,044-300-2454,36.52099,127.232,2023-04-26
42,세종특별자치시청,세종특별자치시 고운서1길 4,세종특별자치시 고운동 1522,생활방범,1,200,고운동 오미정 앞,30,2016-05,044-300-2454,36.5082,127.231,2023-04-26
43,세종특별자치시청,,세종특별자치시 고운동 1535,생활방범,1,200,고운동 꺼먹지황태해장국옆,30,2016-05,044-300-2454,36.50627,127.2326,2023-04-26
44,세종특별자치시청,세종특별자치시 고운서길 20,세종특별자치시 고운동 1716,생활방범,1,200,고운동 참샘빌딩 앞,30,2016-05,044-300-2454,36.50646,127.2345,2023-04-26
45,세종특별자치시청,세종특별자치시 만남1북로 117,세종특별자치시 고운동 1497,생활방범,2,200,고운동 교촌치킨사거리,30,2016-05,044-300-2454,36.50577,127.2327,2023-04-26
46,세종특별자치시청,,세종특별자치시 고운동 1697,생활방범,1,200,고운동 파크힐즈 맞은편,30,2016-05,044-300-2454,36.50791,127.235,2023-04-26
47,세종특별자치시청,세종특별자치시 고운동 2106-10,세종특별자치시 고운동 2106-10,생활방범,1,200,고운동 401동회전교차로,30,2016-05,044-300-2454,36.50764,127.2359,2023-04-26
48,세종특별자치시청,,세종특별자치시 고운동 1412,생활방범,2,200,고운동 11단지 1103동 앞,30,2016-05,044-300-2454,36.51021,127.2301,2023-04-26
49,세종특별자치시청,,세종특별자치시 고운동 2106-20,생활방범,1,200,고운동 백두회수산 건너편,30,2016-05,044-300-2454,36.5089,127.2346,2023-04-26
50,세종특별자치시청,세종특별자치시 마음로 70,세종특별자치시 고운동 1720,생활방범,1,200,고운동 맘스터치앞,30,2016-05,044-300-2454,36.50475,127.2346,2023-04-26
51,세종특별자치시청,,세종특별자치시 고운동 1860,생활방범,2,200,고운동 다름고개입구,30,2016-05,044-300-2454,36.50004,127.2323,2023-04-26
52,세종특별자치시청,,세종특별자치시 고운동 1759,생활방범,2,200,고운동 2단지 208동 앞,30,2016-05,044-300-2454,36.50199,127.2362,2023-04-26
