번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,울산광역시 북구,,울산광역시 북구 호계동 936-54,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.62439,129.35395,2023-12-06
2,울산광역시 북구,울산광역시 북구 호계로 248-4,울산광역시 북구 호계동 752-8,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.62617,129.35336,2023-12-06
3,울산광역시 북구,울산광역시 북구 동대6길 5,울산광역시 북구 호계동 279-7,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.62772,129.3547,2023-12-06
4,울산광역시 북구,울산광역시 북구 호계7길 55,울산광역시 북구 호계동 936-174,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.62704,129.35936,2023-12-06
5,울산광역시 북구,,울산광역시 북구 호계동 460,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.62694,129.36071,2023-12-06
6,울산광역시 북구,,울산광역시 북구 연암동 산77-7,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.57851,129.38812,2023-12-06
7,울산광역시 북구,울산광역시 북구 갈밭길 1,울산광역시 북구 신천동 394-1,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.63495,129.34715,2023-12-06
8,울산광역시 북구,울산광역시 북구 약수3길 17-1,울산광역시 북구 중산동 1178-28,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.64843,129.34474,2023-12-06
9,울산광역시 북구,울산광역시 북구 정자7길 37-2,울산광역시 북구 정자동 67,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.61784,129.44914,2023-12-06
10,울산광역시 북구,울산광역시 북구 명촌로 94,울산광역시 북구 명촌동 758-5,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.55273,129.35275,2023-12-06
11,울산광역시 북구,,울산광역시 북구 연암동 29,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.57746,129.38708,2023-12-06
12,울산광역시 북구,,울산광역시 북구 연암동 1094-1,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.58813,129.36515,2023-12-06
13,울산광역시 북구,울산광역시 북구 지당3길 7,울산광역시 북구 송정동 783-1,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.60226,129.35545,2023-12-06
14,울산광역시 북구,울산광역시 북구 원연암1길 17-6,울산광역시 북구 연암동 747-10,쓰레기단속,1,200,360도 전방면,30,2019-01,052-241-7844,35.57294,129.36371,2023-12-06
15,울산광역시 북구,,울산광역시 북구 신천동 207-4,쓰레기단속,1,200,360도 전방면,30,2020-07,052-241-7844,35.63891,129.35005,2023-12-06
16,울산광역시 북구,,울산광역시 북구 연암동 357-1,쓰레기단속,1,200,360도 전방면,30,2020-07,052-241-7844,35.58721,129.36861,2023-12-06
17,울산광역시 북구,,울산광역시 북구 화봉동 425-6,쓰레기단속,1,200,360도 전방면,30,2020-07,052-241-7844,35.59312,129.36295,2023-12-06
18,울산광역시 북구,,울산광역시 북구 매곡동 715-1,쓰레기단속,1,200,360도 전방면,30,2020-07,052-241-7844,35.63962,129.35885,2023-12-06
19,울산광역시 북구,,울산광역시 북구 산하동 919-1,쓰레기단속,2,200,360도 전방면,30,2021-07,052-241-7844,35.62704,129.44214,2023-12-06
20,울산광역시 북구,,울산광역시 북구 신명동 325,쓰레기단속,1,200,360도 전방면,30,2021-07,052-241-7844,35.64073,129.44097,2023-12-06
21,울산광역시 북구,,울산광역시 북구 양정동 549,쓰레기단속,1,200,360도 전방면,30,2021-07,052-241-7844,35.54168,129.38857,2023-12-06
22,울산광역시 북구,,울산광역시 북구 양정동 565-15,쓰레기단속,1,200,360도 전방면,30,2021-07,052-241-7844,35.54313,129.38711,2023-12-06
23,울산광역시 북구,,울산광역시 북구 구유동 127-1,쓰레기단속,1,200,360도 전방면,30,2021-12,052-241-7844,35.60788,129.4576,2023-12-06
24,울산광역시 북구,,울산광역시 북구 대안동 1041-85,쓰레기단속,1,200,360도 전방면,30,2021-12,052-241-7844,35.64788,129.42212,2023-12-06
25,울산광역시 북구,,울산광역시 북구 상안동 304-11,쓰레기단속,1,200,360도 전방면,30,2021-12,052-241-7844,35.624,129.34794,2023-12-06
26,울산광역시 북구,,울산광역시 북구 천곡동 963,쓰레기단속,1,200,360도 전방면,30,2021-12,052-241-7844,35.64913,129.31628,2023-12-06
27,울산광역시 북구,,울산광역시 북구 중산동 1166-29,재난재해,1,200,360도 전방면,30,2009-06,052-241-7844,35.65428,129.33692,2023-12-06
28,울산광역시 북구,,울산광역시 북구 진장동 876-3,재난재해,1,200,360도 전방면,30,2009-06,052-241-7844,35.56023,129.36183,2023-12-06
29,울산광역시 북구,,울산광역시 북구 중산동 1230-1,재난재해,2,200,360도 전방면,30,2016-05,052-241-7844,35.66232,129.33592,2023-12-06
30,울산광역시 북구,,울산광역시 북구 중산동 1166-29,재난재해,3,200,360도 전방면,30,2018-06,052-241-7844,35.65424,129.33694,2023-12-06
31,울산광역시 북구,,울산광역시 북구 호계동 778,재난재해,2,200,360도 전방면,30,2019-06,052-241-7844,35.62472,129.35093,2023-12-06
32,울산광역시 북구,,울산광역시 북구 시례동 608-1,재난재해,2,200,360도 전방면,30,2019-06,052-241-7844,35.60388,129.34863,2023-12-06
33,울산광역시 북구,,울산광역시 북구 천곡동 1035-1,생활방범,4,200,360도 전방면,30,2019-06,052-241-7844,35.65331,129.33516,2023-12-06
34,울산광역시 북구,,울산광역시 북구 명촌동 994-17,생활방범,4,200,360도 전방면,30,2019-06,052-241-7844,35.5553,129.3583,2023-12-06
35,울산광역시 북구,,울산광역시 북구 명촌동 1013,생활방범,4,200,360도 전방면,30,2019-06,052-241-7844,35.55695,129.35253,2023-12-06
36,울산광역시 북구,,울산광역시 북구 산하동 287-6,생활방범,5,200,360도 전방면,30,2019-06,052-241-7844,35.63176,129.44043,2023-12-06
37,울산광역시 북구,,울산광역시 북구 정자동 638-27,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.6183,129.45061,2023-12-06
38,울산광역시 북구,,울산광역시 북구 양정동 539-22,생활방범,4,200,360도 전방면,30,2019-06,052-241-7844,35.54114,129.38704,2023-12-06
39,울산광역시 북구,,울산광역시 북구 염포동 533-14,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.52945,129.39806,2023-12-06
40,울산광역시 북구,,울산광역시 북구 연암동 747-10,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.57292,129.36148,2023-12-06
41,울산광역시 북구,,울산광역시 북구 연암동 803,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.57356,129.363,2023-12-06
42,울산광역시 북구,,울산광역시 북구 연암동 812-7,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.57316,129.36307,2023-12-06
43,울산광역시 북구,,울산광역시 북구 연암동 845-2,생활방범,3,200,360도 전방면,30,2019-06,052-241-7844,35.57384,129.36227,2023-12-06
44,울산광역시 북구,,울산광역시 북구 송정동 337-9,생활방범,5,200,360도 전방면,30,2018-12,052-241-7844,35.60183,129.36118,2023-12-06
45,울산광역시 북구,,울산광역시 북구 송정동 283-1,생활방범,5,200,360도 전방면,30,2018-12,052-241-7844,35.60358,129.36089,2023-12-06
