번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,인천광역시 동구청,인천광역시 동구 배송로 2,인천광역시 동구 송림동 209-16,다목적,3,200.0,360도전방면,30,2014-09,032-770-6300,37.4741323,126.6377472,2020-03-02
2,인천광역시 동구보건소,인천광역시 동구 석수로 90,인천광역시 동구 만석동 18-3,시설물관리,8,200.0,360도 전방면,30,2016-04,032-770-5705,37.483,126.6259,2020-06-18
3,복지정책과,"인천광역시 동구 금곡로 67, 동구청 4층 (송림동)",인천광역시 동구 송림동 109번지 2호 동구청,시설물관리,1,210.0,복지상담실 내부,30,2019-02,032-770-6454,37.4738,126.6432,2020-06-22
4,인천광역시 동구치매안심센터,"인천광역시 동구 송림로 113, 송영빌딩 2층 (송림동)",인천광역시 동구 송림동 49번지 13호 송영빌딩,생활방범,5,240.0,90도단방향,30,2018-11,032-760-4929,37.476908,126.647211,2020-06-23
5,송림3·5동 행정복지센터,"인천광역시 동구 새천년로 72, 송림3·5동 복합청사 (송림동)",인천광역시 동구 송림동 342번지 1호 송림3·5동 복합청사,시설물관리,15,200.0,청사 내외부,30,2011-12,032-770-5903,37.4747244781,126.6488037497,2020-06-23
6,인천광역시 동구 송현1·2동 행정복지센터,인천광역시 동구 수문통로 26,인천광역시 동구 송현동 67-84,기타,4,,,15,2020-02,032-770-5820,37.4784942952,126.6333832738,2020-06-23
7,화수2동 행정복지센터,"인천광역시 동구 화수안로 42, 화수2동 행정복지센터 (화수동)",인천광역시 동구 화수동 37번지 141호 화수2동 행정복지센터,시설물관리,6,,청사 내외부,30,2019-10,032-770-5800,37.4843876897,126.6301795996,2020-06-23
8,금창동행정복지센터,"인천광역시 동구 금곡로36번길 16, 금창동 행정복지센터 (금곡동)",인천광역시 동구 금곡동 38번지 2호 금창동 행정복지센터,시설물관리,4,,민원실 및 상담실등,15,2019-09,032-770-5960,37.502503,125.3304288,2020-06-24
9,인천광역시 동구청,인천광역시 동구 화수로7,인천광역시 동구 송현동 60,어린이보호,1,200.0,360도전방면,30,2015-01,032-770-6300,37.4802994,126.635997,2020-03-02
10,인천광역시 동구청,인천광역시 동구 송현로 59-2,인천광역시 동구 송현동 56-95,다목적,1,200.0,360도전방면,30,2017-11,032-770-6300,37.4805765,126.6379095,2020-03-02
11,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 338,어린이보호,1,200.0,360도전방면,30,2017-11,032-770-6300,37.4771943,126.6391014,2020-03-02
12,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 338,어린이보호,1,200.0,360도전방면,30,2017-11,032-770-6300,37.4771943,126.6391014,2020-03-02
13,인천광역시 동구청,인천광역시 동구 인중로 614,인천광역시 동구 송현동 25-83,다목적,1,130.0,360도전방면,30,2016-06,032-770-6300,37.480772,126.6400202,2020-03-02
14,인천광역시 동구청,인천광역시 동구 송현공원로 75-21,인천광역시 동구 송현동 23-62,다목적,1,41.0,360도전방면,30,2017-06,032-770-6300,37.47899962,126.6394859,2020-03-02
15,인천광역시 동구청,인천광역시 동구 송현공원로 75-21,인천광역시 동구 송현동 23-62,다목적,4,200.0,360도전방면,30,2018-06,032-770-6300,37.47899962,126.6394859,2020-03-02
16,인천광역시 동구청,인천광역시 동구 송현공원로 75-21,인천광역시 동구 송현동 23-62,다목적,1,200.0,360도전방면,30,2013-12,032-770-6300,37.47899962,126.6394859,2020-03-02
17,인천광역시 동구청,인천광역시 동구 인중로 614,인천광역시 동구 송현동 23-30,다목적,1,200.0,360도전방면,30,2013-02,032-770-6300,37.480772,126.6400202,2020-03-02
18,인천광역시 동구청,인천광역시 동구 샛골로 234,인천광역시 동구 송현동 1-867,다목적,1,200.0,360도전방면,30,2013-12,032-770-6300,37.48261759,126.6440905,2020-03-02
19,인천광역시 동구청,인천광역시 동구 인중로 635-20,인천광역시 동구 송현동 1-825,어린이보호,1,200.0,360도전방면,30,2017-11,032-770-6300,37.4822473,126.6426346,2020-03-02
20,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 163,다목적,1,200.0,360도전방면,30,2019-08,032-770-6300,37.4771943,126.6391014,2020-03-02
21,인천광역시 동구청,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 163,다목적,2,200.0,360도전방면,30,2017-12,032-770-6300,37.4771943,126.6391014,2020-03-02
22,인천광역시 동구청,인천광역시 동구 송현공원로 75-21,인천광역시 동구 송현동 162,다목적,1,200.0,360도전방면,30,2016-06,032-770-6300,37.47899962,126.6394859,2020-03-02
23,인천광역시 동구청,인천광역시 동구 솔빛로 13,인천광역시 동구 송현동 156,다목적,1,200.0,360도전방면,30,2016-06,032-770-6300,37.4767813,126.634936,2020-03-02
