번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,전라남도 영암군,학산면 영산로 18 연성철물건재 1ch,학산면 독천리 135 연성철물건재,생활방범,2,200,도로 위,30.0,2017-10,061-470-2139,34.726,126.569,2020-12-11
2,전라남도 영암군,학산면 영산로 824 석포교차로 1ch,학산면 은곡리 460-2 석포교차로,생활방범,1,200,도로 위,30.0,2017-10,061-470-2139,34.771,126.526,2020-12-11
3,전라남도 영암군,학산면 왕인로 196 아천사거리(버스정류장) 1ch,학산면 용산리 1015-39 아천사거리(버스정류장),생활방범,2,200,도로 위,30.0,2017-10,061-470-2139,34.74,126.614,2020-12-11
4,전라남도 영암군,학산면 천해길 6 천해마을 앞 1ch,학산면 용소리 501-13 천해마을 앞,생활방범,4,200,도로 위,30.0,2019-10,061-470-2139,34.714,126.611,2020-12-11
5,전라남도 영암군,군서면 왕인로 440 왕인박사유적지 사거리(버스정류장) 1ch,군서면 동구림리 477-2 왕인박사유적지 사거리(버스정류장) 3ch,생활방범,4,200,도로 위,30.0,2018-04,061-470-2139,34.758,126.628,2020-12-11
6,전라남도 영암군,삼호읍 녹색로 1126-301 대원자원 쓰레기불법투기 1ch,삼호읍 서호리 729-1 대원자원 쓰레기불법투기 1ch,쓰레기단속,1,200,전방산방면,30.0,2020-07,061-470-2139,34.734,126.501,2020-12-11
7,전라남도 영암군,군서면 마한로 408 주변(수문다리 지나 왼쪽내리막길) 1ch,군서면 양장리 747-2 주변(수문다리 지나 왼쪽내리막길) 1ch,재난재해,1,200,하천방면,30.0,2017-10,061-470-2139,34.793,126.61,2020-12-11
8,전라남도 영암군,도포면 영동로 성산저수지 1ch,도포면 성산리 712 성산저수지 1ch,재난재해,1,200,저수지,30.0,2018-04,061-470-2139,34.861,126.664,2020-12-11
9,전라남도 영암군,서호면 소산송산길 73 제방학파2저수지 주변 1ch,서호면 소산리 153-6 제방학파2저수지 주변 1ch,재난재해,1,200,저수지,30.0,2018-04,061-470-2139,34.783,126.583,2020-12-11
10,전라남도 영암군,서호면 영산로 1325 태백양수장 주변1ch,서호면 태백리 754-1 태백양수장 주변1ch,재난재해,1,200,하천방면,30.0,2019-10,061-470-2139,34.795,126.551,2020-12-11
