번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,전북특별자치도 무주군청,전북특별자치도 무주군 무주읍 적천로 367,전북특별자치도 무주군 무주읍 읍내리 126-16,생활방범,1,200,주계파출소 옥상,30,2020-05,063-320-2162,36.007607,127.667394,2021-10-21
2,전북특별자치도 무주군청,전북특별자치도 무주군 무주읍 단천로 165,전북특별자치도 무주군 무주읍 읍내리 120-7,생활방범,2,200,제일정미소,30,2020-01,063-320-2162,36.008355,127.66905,2021-10-21
3,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 사천리 303-3,전북특별자치도 무주군 적상면 사천리 303-3,생활방범,2,200,적상로터리,30,2020-01,063-320-2162,35.942245,127.659059,2021-10-21
4,전북특별자치도 무주군청,전북특별자치도 무주군 무주읍 내도리 1436-2,전북특별자치도 무주군 무주읍 내도리 1436-2,생활방범,4,200,후도마을,30,2017-06,063-320-2162,36.029814,127.644562,2022-06-03
5,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 사내로 113,전북특별자치도 무주군 적상면 사산리 984-6,생활방범,3,200,상사내마을,30,2017-06,063-320-2162,35.938034,127.670938,2022-06-03
6,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 괴목로 532,전북특별자치도 무주군 적상면 포내리 798-2,생활방범,3,200,상곡마을,30,2016-01,063-320-2162,35.947016,127.715383,2022-06-03
7,전북특별자치도 무주군청,전북특별자치도 무주군 안성면 내외당길 161,전북특별자치도 무주군 안성면 공정리 933-1,생활방범,1,200,내당마을,30,2017-06,063-320-2162,35.852364,127.686532,2022-06-03
8,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 대불리 557,전북특별자치도 무주군 설천면 내북길 90,생활방범,1,200,내북마을,30,2017-06,063-320-2162,36.011615,127.830816,2022-06-03
9,전북특별자치도 무주군청,전북특별자치도 무주군 무주읍 당산길 20,전북특별자치도 무주군 무주읍 당산리 897,생활방범,5,200,당산마을,30,2017-06,063-320-2162,36.003455,127.66858,2022-06-03
10,전북특별자치도 무주군청,전북특별자치도 무주군 부남면 대소2길 6,전북특별자치도 무주군 부남면 대소리 144-1,생활방범,2,200,대소마을,30,2016-01,063-320-2162,35.97352,127.561401,2022-06-03
11,전북특별자치도 무주군청,전북특별자치도 무주군 부남면 대티길 58,전북특별자치도 무주군 부남면 대유리 127-1,생활방범,3,200,대티마을,30,2017-06,063-320-2162,35.995709,127.573425,2022-06-03
12,전북특별자치도 무주군청,전북특별자치도 무주군 안성면 덕곡길 8-3,전북특별자치도 무주군 안성면 덕산리 126,생활방범,2,200,덕곡마을,30,2021-06,063-320-2162,35.869497,127.700345,2022-06-03
13,전북특별자치도 무주군청,전북특별자치도 무주군 무풍면 덕동길 1,전북특별자치도 무주군 무풍면 덕지리 1400,생활방범,1,200,덕동마을,30,2017-06,063-320-2162,35.915093,127.830035,2022-06-03
14,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 구천동1로 87,전북특별자치도 무주군 설천면 삼공리 418-19,생활방범,4,200,덕유마을,30,2017-06,063-320-2162,35.899685,127.776945,2022-06-03
15,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 월곡길 52,전북특별자치도 무주군 설천면 삼공리 615,생활방범,1,200,월곡마을,30,2019-10,063-320-2162,35.897863,127.7718,2022-06-03
16,전북특별자치도 무주군청,전북특별자치도 무주군 부남면 가당리 554-1,전북특별자치도 무주군 부남면 가당리 554-1,생활방범,2,200,가정마을,30,2018-06,063-320-2162,36.014047,127.581613,2022-06-03
17,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 삼유길 328,전북특별자치도 무주군 적상면 삼유리 1578,생활방범,1,200,상유마을,30,2018-06,063-320-2162,35.893769,127.608079,2022-06-03
18,전북특별자치도 무주군청,전북특별자치도 무주군 안성면 죽천리 1286-5,전북특별자치도 무주군 안성면 죽천리 1286-5,생활방범,1,200,갈마마을,30,2018-06,063-320-2162,35.838706,127.654088,2022-06-03
19,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 괴목로 148,전북특별자치도 무주군 적상면 괴목리 726,생활방범,2,200,상조마을,30,2018-06,063-320-2162,35.913266,127.716903,2022-06-03
20,전북특별자치도 무주군청,전북특별자치도 무주군 부남면 고창길 15-1,전북특별자치도 무주군 부남면 고창리 304-1,생활방범,2,200,고창마을,30,2018-06,063-320-2162,35.94314,127.56768,2022-06-03
21,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 신선길 29,전북특별자치도 무주군 설천면 두길리 670-3,생활방범,1,200,구산마을,30,2018-06,063-320-2162,35.975374,127.783191,2022-06-03
22,전북특별자치도 무주군청,전북특별자치도 무주군 안성면 궁대길 105,전북특별자치도 무주군 안성면 금평리 1904-1,생활방범,1,200,궁대마을,30,2018-06,063-320-2162,35.870334,127.683687,2022-06-03
23,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 삼도봉로 174,전북특별자치도 무주군 설천면 소천리 131-6,생활방범,1,200,나림마을,30,2018-06,063-320-2162,36.015704,127.802288,2022-06-03
24,전북특별자치도 무주군청,전북특별자치도 무주군 적상면 성도길 23,전북특별자치도 무주군 적상면 삼유리 987-1,생활방범,2,200,성유마을,30,2018-06,063-320-2162,35.911634,127.613453,2022-06-03
25,전북특별자치도 무주군청,전북특별자치도 무주군 무주읍 읍내리 1159-2,전북특별자치도 무주군 무주읍 읍내리 1159-2,생활방범,3,200,대교마을,30,2018-06,063-320-2162,36.005473,127.65491,2022-06-03
26,전북특별자치도 무주군청,전북특별자치도 무주군 부남면 유섬길 155,전북특별자치도 무주군 부남면 대소리 1433-2,생활방범,2,200,도소마을,30,2018-06,063-320-2162,35.971907,127.548727,2022-06-03
27,전북특별자치도 무주군청,전북특별자치도 무주군 안성면 덕유산로 876,전북특별자치도 무주군 안성면 금평리 569-2,생활방범,1,200,두문마을,30,2018-06,063-320-2162,35.877961,127.694831,2022-06-03
28,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 두길리 2214-3,전북특별자치도 무주군 설천면 두길리 2214-3,생활방범,1,200,마전마을,30,2018-06,063-320-2162,35.943324,127.754032,2022-06-03
29,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 원삼공 2길 9,전북특별자치도 무주군 설천면 삼공리 293-4,생활방범,2,200,원삼공마을,30,2020-03,063-320-2162,35.907808,127.780481,2021-10-21
30,전북특별자치도 무주군청,전북특별자치도 무주군 설천면 청량리 163-2,전북특별자치도 무주군 설천면 청량리 163-2,생활방범,1,200,온평마을,30,2020-04,063-320-2162,36.010679,127.771344,2021-10-21
31,전북특별자치도 무주군청,전북특별자치도 무주군 무풍면 독가촌길 5,전북특별자치도 무주군 무풍면 삼거리 50-24,생활방범,1,200,독가촌마을,30,2018-07,063-320-2162,35.890303,127.825233,2021-10-21
