번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,제주특별자치도,제주특별자치도 제주시 동광로1길 20-7,제주특별자치도 제주시 이도일동 1294,어린이보호,4,,광양초 후문 서측 삼거리,30.0,,064-728-2101,33.502506,126.528726,2021-01-06
2,제주특별자치도,제주특별자치도 제주시 서광로29길 34,제주특별자치도 제주시 이도일동 1650-1,어린이보호,4,,삼성초 정문 앞 삼거리,30.0,,064-728-2101,33.503069,126.526083,2021-01-06
3,제주특별자치도,제주특별자치도 제주시 홍랑길 38-15,제주특별자치도 제주시 삼도일동 273,어린이보호,4,,삼성초 후문 앞 삼거리,30.0,,064-728-2101,33.503177,126.524632,2021-01-06
4,제주특별자치도,제주특별자치도 제주시 신산로15길 36,제주특별자치도 제주시 일도이동 352,어린이보호,4,,인화초 정문,30.0,,064-728-2101,33.506864,126.538456,2021-01-06
5,제주특별자치도,제주특별자치도 제주시 신산로13길 30,제주특별자치도 제주시 일도이동 446,어린이보호,4,,인화초 체육관 북측 삼거리,30.0,,064-728-2101,33.507696,126.536822,2021-01-06
6,제주특별자치도,제주특별자치도 제주시 신산로4길 26,제주특별자치도 제주시 일도이동 1050-1,어린이보호,5,,일도초 정문 북측 사거리,30.0,,064-728-2101,33.510371,126.529442,2021-01-06
7,제주특별자치도,제주특별자치도 제주시 신선서길 12,제주특별자치도 제주시 일도이동 1050-1,어린이보호,4,,일도초 후문 서측 삼거리,30.0,,064-728-2101,33.508837,126.529208,2021-01-06
8,제주특별자치도,제주특별자치도 제주시 동화로1길 44,제주특별자치도 제주시 화북일동 29-5,어린이보호,3,,동화초 운동장 북측 단일로,30.0,,064-728-2101,33.519469,126.575533,2021-01-06
9,제주특별자치도,제주특별자치도 제주시 동화로1길 47,제주특별자치도 제주시 화북일동 12-2,어린이보호,4,,동화초 정문 앞 삼거리,30.0,,064-728-2101,33.518456,126.576472,2021-01-06
10,제주특별자치도,제주특별자치도 제주시 화남로 1,제주특별자치도 제주시 화북일동 3907-7,어린이보호,4,,화북초 정문 동측 삼거리,30.0,,064-728-2101,33.518137,126.563195,2021-01-06
11,제주특별자치도,제주특별자치도 제주시 진남로2길 25,제주특별자치도 제주시 화북일동 3970-3,어린이보호,4,,화북초 후문 동측 삼거리,30.0,,064-728-2101,33.51998,126.563268,2021-01-06
12,제주특별자치도,제주특별자치도 제주시 도평길 23,제주특별자치도 제주시 도평동 872-1,어린이보호,6,,도평초 정문,30.0,,064-728-2101,33.479987,126.447194,2021-01-06
13,제주특별자치도,제주특별자치도 제주시 구좌읍 동복로 62,제주특별자치도 제주시 구좌읍 동복리 1759,어린이보호,5,,동복분교 진입로 서측,30.0,,064-728-2101,33.552886,126.712908,2021-01-06
14,제주특별자치도,제주특별자치도 제주시 구좌읍 동복로2길 13,제주특별자치도 제주시 구좌읍 동복리 1759,어린이보호,5,,동복분교 동남교차로,30.0,,064-728-2101,33.551781,126.712752,2021-01-06
15,제주특별자치도,제주특별자치도 제주시 구좌읍 구좌로 64,제주특별자치도 제주시 구좌읍 세화리 3637,어린이보호,6,,세화초 정문,30.0,,064-728-2101,33.522248,126.858049,2021-01-06
16,제주특별자치도,제주특별자치도 제주시 구좌읍 종달로7길 8,제주특별자치도 제주시 구좌읍 종달리 4982,어린이보호,3,,종달초 정문,30.0,,064-728-2101,33.492063,126.896909,2021-01-06
17,제주특별자치도,제주특별자치도 제주시 구좌읍 일주동로 2841,제주특별자치도 제주시 구좌읍 한동리 1182-4,어린이보호,5,,한동초 정문 남측 사거리,30.0,,064-728-2101,33.537566,126.828976,2021-01-06
18,제주특별자치도,제주특별자치도 제주시 구좌읍 월정7길 2,제주특별자치도 제주시 구좌읍 월정리 101-3,어린이보호,4,,구좌중앙초 정문 동측,30.0,,064-728-2101,33.551208,126.798693,2021-01-06
19,제주특별자치도,제주특별자치도 제주시 구좌읍 김녕로 116,제주특별자치도 제주시 구좌읍 김녕리 2121,어린이보호,4,,김녕초 정문,30.0,,064-728-2101,33.55484,126.750568,2021-01-06
