번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,충청북도 괴산군,,괴산읍 서부리 산69-2,차량방범,2,280,현대공업사 앞(증평방향),30,2019-06,043-830-3772,36.801145,127.788548,2021-10-20
2,충청북도 괴산군,,연풍면 주진리 125,차량방범,1,280,연풍휴게소 앞(충주방향),30,2019-06,043-830-3772,36.753962,128.013284,2021-10-20
3,충청북도 괴산군,,문광면 신기리 581-1,차량방범,2,280,문광저수지 옆도로,30,2019-06,043-830-3772,36.767237,127.753289,2021-10-20
4,충청북도 괴산군,,청안면 문당리 901-2,차량방범,2,280,질마재 고개,30,2019-06,043-830-3772,36.740591,127.668955,2021-10-20
5,충청북도 괴산군,,불정면 삼방리 804-3,차량방범,2,280,삼방리 고개,30,2019-06,043-830-3772,36.920214,127.785118,2021-10-20
6,충청북도 괴산군,,괴산읍 신기리 176-4,생활방범,2,200,신기사거리,30,2019-06,043-830-3772,36.8456,127.799162,2021-10-20
7,충청북도 괴산군,,괴산읍 동부리 647-4,생활방범,1,300,대가 앞,30,2019-06,043-830-3772,36.808088,127.794707,2021-10-20
8,충청북도 괴산군,,괴산읍 대사리 85-2,생활방범,1,200,선달골 입구,30,2019-06,043-830-3772,36.794444,127.780757,2021-10-20
9,충청북도 괴산군,,괴산읍 대사리 40-3,생활방범,2,300,괴산중학교 정문 앞,30,2019-06,043-830-3772,36.796583,127.784897,2021-10-20
10,충청북도 괴산군,,괴산읍 서부리 506-2,생활방범,1,300,남산빌라 입구,30,2019-06,043-830-3772,36.806451,127.78901,2021-10-20
11,충청북도 괴산군,,괴산읍 서부리 819-8,생활방범,2,200,반석아파트 서편입구,30,2019-06,043-830-3772,36.805693,127.788418,2021-10-20
12,충청북도 괴산군,,괴산읍 신항리 576-3,생활방범,1,200,신항저수지 입구,30,2019-06,043-830-3772,36.853797,127.773183,2021-10-20
13,충청북도 괴산군,,괴산읍 서부리 252-7,생활방범,1,300,괴산읍사무소앞 삼거리,30,2019-06,043-830-3772,36.81145,127.791464,2021-10-20
14,충청북도 괴산군,,괴산읍 대덕리 338-1,생활방범,1,200,대덕리 입구(학생군사학교 방면),30,2019-06,043-830-3772,36.820442,127.809232,2021-10-20
15,충청북도 괴산군,,감물면 오성리 522-4,생활방범,1,200,성골마을 입구,30,2019-06,043-830-3772,36.832731,127.856618,2021-10-20
16,충청북도 괴산군,,장연면 오가리 258-2,생활방범,1,200,신촌마을 진입로,30,2019-06,043-830-3772,36.828488,127.954888,2021-10-20
17,충청북도 괴산군,,연풍면 원풍리 455-1,생활방범,1,200,절골마을 입구,30,2019-06,043-830-3772,36.785942,128.016355,2021-10-20
18,충청북도 괴산군,,연풍면 유하리 481-2,생활방범,2,200,오수마을 입구,30,2019-06,043-830-3772,36.777561,127.975165,2021-10-20
19,충청북도 괴산군,,칠성면 율지리 89,생활방범,2,300,율곡새마을회관 앞,30,2019-06,043-830-3772,36.782181,127.872069,2021-10-20
20,충청북도 괴산군,,칠성면 율지리 312,생활방범,1,300,지곡마을 입구,30,2019-06,043-830-3772,36.773871,127.867007,2021-10-20
21,충청북도 괴산군,,칠성면 율지리 260-4,생활방범,1,200,지곡경로당 앞 삼거리,30,2019-06,043-830-3772,36.773226,127.868971,2021-10-20
22,충청북도 괴산군,,칠성면 사은리 288-7,생활방범,1,200,산막이마을 입구,30,2019-06,043-830-3772,36.747044,127.838617,2021-10-20
23,충청북도 괴산군,,문광면 문법리 1067-1,생활방범,1,200,문법3리정류장 앞,30,2019-06,043-830-3772,36.788098,127.760492,2021-10-20
24,충청북도 괴산군,,문광면 흑석리 302-2,생활방범,1,200,흑석2길 입구,30,2019-06,043-830-3772,36.739671,127.810417,2021-10-20
25,충청북도 괴산군,,청천면 청천리 62-29,생활방범,1,200,청천사거리,30,2019-06,043-830-3772,36.659545,127.738684,2021-10-20
26,충청북도 괴산군,,청천면 삼송리 651-1,생활방범,1,200,다못골경로당 앞,30,2019-06,043-830-3772,36.66422,127.881701,2021-10-20
27,충청북도 괴산군,,청천면 삼송리 81,생활방범,1,200,농바우교 앞,30,2019-06,043-830-3772,36.66036,127.888877,2021-10-20
28,충청북도 괴산군,,청천면 삼송리 48-1,생활방범,1,300,삼송4길 (경로당)입구,30,2019-06,043-830-3772,36.661352,127.890718,2021-10-20
29,충청북도 괴산군,,청천면 후영리 산32-5,생활방범,1,200,후영고개(도경로 후영길 입구),30,2019-06,043-830-3772,36.684498,127.79532,2021-10-20
30,충청북도 괴산군,,청천면 덕평리 241-23,생활방범,1,200,덕평2리마을회관 앞,30,2019-06,043-830-3772,36.730204,127.799831,2021-10-20
31,충청북도 괴산군,,청안면 장암리 152-1,생활방범,1,200,장암교 앞,30,2019-06,043-830-3772,36.752224,127.716122,2021-10-20
32,충청북도 괴산군,,청안면 부흥리 531-1,생활방범,1,200,매티미마을 입구,30,2019-06,043-830-3772,36.715189,127.723921,2021-10-20
33,충청북도 괴산군,,청안면 장암리 458-3,생활방범,2,200,장암2리정류장 앞,30,2019-06,043-830-3772,36.772103,127.707536,2021-10-20
34,충청북도 괴산군,,칠성면 쌍곡리 168-1,생활방범,2,200,떡바위산장 앞,30,2020-06,043-830-3772,36.740406,127.903016,2021-10-20
35,충청북도 괴산군,,칠성면 쌍곡리 191-2,생활방범,2,200,쌍곡휴게소 앞,30,2020-06,043-830-3772,36.730374,127.908971,2021-10-20
36,충청북도 괴산군,,칠성면 두천리 409,생활방범,1,200,외두마을 입구,30,2020-06,043-830-3772,36.798496,127.827611,2021-10-20
37,충청북도 괴산군,,문광면 양곡리 27-2,생활방범,1,200,문광낚시터 앞,30,2020-06,043-830-3772,36.768835,127.746973,2021-10-20
38,충청북도 괴산군,,문광면 신기리 314-1,생활방범,1,200,신기1리 입구,30,2020-06,043-830-3772,36.773976,127.757887,2021-10-20
39,충청북도 괴산군,,청천면 도원리 86-11,생활방범,1,200,도원소교 앞,30,2020-06,043-830-3772,36.684601,127.773254,2021-10-20
40,충청북도 괴산군,,청천면 사담리 118-1,생활방범,3,200,사담교 앞,30,2020-06,043-830-3772,36.626145,127.808221,2021-10-20
41,충청북도 괴산군,,청천면 청천리 123-1,생활방범,2,200,청천파출소 앞,30,2020-06,043-830-3772,36.660703,127.73501,2021-10-20
42,충청북도 괴산군,,청안면 문방리 295-3,생활방범,1,200,문방3리 구길 입구,30,2020-06,043-830-3772,36.756457,127.645473,2021-10-20
43,충청북도 괴산군,,청안면 조천리 580,생활방범,1,200,조천3리 인구,30,2020-06,043-830-3772,36.786875,127.660804,2021-10-20
44,충청북도 괴산군,,청안면 청용리 686-11,생활방범,1,200,진성요양원 입구,30,2020-06,043-830-3772,36.78227,127.637046,2021-10-20
45,충청북도 괴산군,,사리면 화산리 199-5,생활방범,1,200,대촌마을 입구,30,2020-06,043-830-3772,36.807526,127.729794,2021-10-20
46,충청북도 괴산군,,사리면 중흥리 465-16,생활방범,2,200,칠성마을경로당 앞,30,2020-06,043-830-3772,36.832697,127.638771,2021-10-20
47,충청북도 괴산군,,사리면 방축리 428-7,생활방범,1,200,방축골 입구,30,2020-06,043-830-3772,36.80579,127.646661,2021-10-20
48,충청북도 괴산군,,소수면 고마리 144-5,생활방범,2,200,고마1리경로당 앞,30,2020-06,043-830-3772,36.833561,127.749806,2021-10-20
49,충청북도 괴산군,,소수면 고마리 142,생활방범,1,200,고마1리마을회관 앞,30,2020-06,043-830-3772,36.834087,127.750345,2021-10-20
50,충청북도 괴산군,,불정면 하문리 146,생활방범,1,200,하문리 동편입구,30,2020-06,043-830-3772,36.871596,127.87916,2021-10-20
51,충청북도 괴산군,,불정면 하문리 73-2,생활방범,1,200,하문리정류장 앞,30,2020-06,043-830-3772,36.87095,127.877942,2021-10-20
52,충청북도 괴산군,,괴산읍 대덕리 592,차량방범,1,900,괴강교 하행 (괴산방향),30,2021-06,043-830-3772,36.806716,127.81962,2021-10-20
53,충청북도 괴산군,,청천면 이평리 77-2,차량방범,2,900,송면중학교 앞 (양방향),30,2021-06,043-830-3772,36.658851,127.875728,2021-10-20
